id;Magasin;Code communication;Référence commande;Référence commande externe;Référence pré commande;Configuration commande externe;Date commande;Date livraison;Date validation;Date de début de validation;Date de fin de validation;Statut;Créée par;Validée par;Fournisseur;Nom;Prénom;Titre;Adresse 1;Adresse 2;Adresse 3;Code postal;Ville;Pays;Téléphone 1;Téléphone 2;Fax;Email;Entreprise;Numéro T.V.A. intra.;A.P.E.;SIRET;SIREN;Historique;Type commande;is_direct;is_external
ca82abdc-39e4-4526-b86a-3d3c20632ccb;294;;13548272;COMMANDE EPICERIE LC;;;13/11/2025 14:07:51;13/11/2025;13/11/2025 14:25:00;;;en attente de livraison;;kevdjaha;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
c409dbd7-1dd1-49b5-8466-21bc3dad01ff;294;;12266315;COMMANDE EPICERIE LC;;;13/11/2025 14:04:46;13/11/2025;13/11/2025 14:06:01;;;en attente de livraison;;kevdjaha;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
a87a48b4-28e6-481b-a217-b9aab56217ee;294;;13021353;COMMANDE EPICERIE LC;;;13/11/2025 14:01:27;13/11/2025;13/11/2025 14:02:25;;;en attente de livraison;;kevdjaha;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
f6ea8fc1-de4a-45ae-8faf-3f079bd4fac6;294;;28644670;COMMANDE EPICERIE LC;;;13/11/2025 14:00:07;13/11/2025;13/11/2025 14:00:30;;;en attente de livraison;;kevdjaha;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
3858992d-548b-459e-ba67-4b8bbcb51311;294;;84077480;CMD LD DPH;;;13/11/2025 13:50:36;13/11/2025;13/11/2025 13:55:07;;;en attente de livraison;yynomel;yynomel;ALM;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
76ceda11-fc96-4d2c-ac43-650e8a7f2404;294;;18905822;COMMANDE EPICERIE LC;;;13/11/2025 13:48:21;13/11/2025;13/11/2025 13:59:24;;;en attente de livraison;;kevdjaha;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
73519c9b-8896-4b64-b126-4b3593a69b40;294;;71522080;COMMANDE EPICERIE LC;;;13/11/2025 13:39:28;13/11/2025;13/11/2025 13:47:06;;;en attente de livraison;;kevdjaha;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
7646ed2a-0120-4a96-bb84-852ac93d220c;294;;40935581;commande centrale;;;13/11/2025 13:35:52;14/11/2025;13/11/2025 13:48:22;;;en attente de livraison;yynomel;yynomel;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
ec94f332-c6c6-47a6-9aad-a6fbc9c919fb;294;;14274150;LIVRAISON DIRECT LD EPICERIE;;;13/11/2025 13:11:24;13/11/2025;13/11/2025 13:15:14;;;en attente de livraison;bebhjkouassi;bebhjkouassi;EUROLAIT S.A;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
0b52b878-3350-4d2e-94dd-61b41dc9d55b;294;;48911215;LIVRAISON DIRECT LD EPICERIE;;;13/11/2025 13:02:07;13/11/2025;13/11/2025 13:05:39;;;en attente de livraison;bebhjkouassi;bebhjkouassi;EUROLAIT S.A;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
0857efca-dc69-4118-9804-256941e33557;294;;28360294;LIVRAISON DIRECT LD EPICERIE;;;13/11/2025 12:10:58;13/11/2025;13/11/2025 12:14:25;;;en attente de livraison;bebhjkouassi;bebhjkouassi;PROFESSIONAL FOODS INDUSTRY;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
36ac0fb3-4b06-4263-9130-1aef88b89b15;294;;13574368;COMMANDE CENTRALE EPICERIE;;;13/11/2025 11:24:15;13/11/2025;13/11/2025 11:35:53;;;en attente de livraison;;bebhjkouassi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
b1017bfc-14ad-4a53-ab7c-dcd6dc2f88b4;294;;54968987;COMMANDE LC LIQUIDE;;;13/11/2025 10:49:27;14/11/2025;13/11/2025 11:09:28;;;en attente de livraison;mdan;mdan;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
a013a452-e6b9-4e79-a23f-f395cbc732e2;294;;42306785;COMMANDE CENTRALE EPICERIE;;;13/11/2025 10:36:02;13/11/2025;13/11/2025 11:22:15;;;en attente de livraison;;bebhjkouassi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
fcade9df-36df-4889-bd49-1c02134af5a0;294;;16173584;CMD LC LIQUIDE;;;13/11/2025 10:32:21;14/11/2025;13/11/2025 10:33:41;;;en attente de livraison;kjyggnapoh;kjyggnapoh;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
14f4af8a-9165-45fc-b2b9-7930c3a79316;294;;87020651;CMD LC LIQUIDE;;;13/11/2025 10:17:02;14/11/2025;13/11/2025 10:29:31;;;en attente de livraison;kjyggnapoh;kjyggnapoh;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
2e45eb60-0f04-4d50-b4dc-8eea4467317f;294;;22029772;;;;13/11/2025 09:54:03;14/11/2025;13/11/2025 10:02:40;;;en attente de livraison;aassoumou;aassoumou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
a877201f-a0b8-431f-b15a-ca8567166bc2;294;;16932611;COMMANDE LC DPHE;;;13/11/2025 09:48:13;14/11/2025;13/11/2025 10:37:54;;;en attente de livraison;mdan;mdan;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
ecabf893-c4fb-44bb-a68b-8f2bced53361;294;;29083844;CMD LC LIQUIDE;;;13/11/2025 09:30:52;14/11/2025;13/11/2025 09:41:08;;;en attente de livraison;kjyggnapoh;kjyggnapoh;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
f566c45b-d215-48b6-9b62-79b2e16240ec;294;;13366589;;;;13/11/2025 09:25:05;14/11/2025;13/11/2025 09:32:46;;;en attente de livraison;ckakpo;ckakpo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
33eae59d-fd89-4a23-a7ac-ce92a079dfc6;294;;12688592;CDM LC LIQUIDE;;;13/11/2025 09:22:07;14/11/2025;13/11/2025 09:23:30;;;en attente de livraison;kjyggnapoh;kjyggnapoh;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
385e884d-8728-4906-85ba-4f6905de4bb6;294;;59295575;CMD LC LIQUIDE;;;13/11/2025 09:16:55;14/11/2025;13/11/2025 09:22:05;;;en attente de livraison;kjyggnapoh;kjyggnapoh;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
845c64ca-e486-4127-a30b-8a2b47b32bae;294;;29075029;;;;13/11/2025 09:11:21;14/11/2025;13/11/2025 09:22:40;;;en attente de livraison;ckakpo;ckakpo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
f4eff589-3e15-4f95-beeb-806c00f80884;294;;17667926;CMD LC LIQUIDE;;;13/11/2025 08:57:58;14/11/2025;13/11/2025 09:23:59;;;en attente de livraison;kjyggnapoh;kjyggnapoh;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
a7d5f43a-1b77-4e02-98b7-d2cce4785663;294;;54581201;;;;13/11/2025 08:56:45;14/11/2025;13/11/2025 09:18:29;;;en attente de livraison;aassoumou;aassoumou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
eb7470d5-7400-4e47-b30b-52c292ceebaf;294;;29697261;;;;13/11/2025 08:49:54;14/11/2025;13/11/2025 08:54:53;;;en attente de livraison;kjyggnapoh;kjyggnapoh;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
1789451f-2ffa-415d-9a24-f7836ce48c14;294;;23277136;LIVRAISON DIRECT LD EPICERIE;;;13/11/2025 08:48:00;13/11/2025;13/11/2025 08:50:00;;;en attente de livraison;kjyggnapoh;kjyggnapoh;GROUPE OBAN SARL;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
cc48e4f5-db21-41de-a9a5-9dd24d90a2a3;294;;15605086;COMMANDE EPICERIE LC;;;13/11/2025 08:47:35;14/11/2025;13/11/2025 09:48:13;;;en attente de livraison;mdan;mdan;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
68146e95-1c94-4bc3-9be5-0cb934c69645;294;;34015176;LIVRAISON DIRECT LD EPICERIE;;;13/11/2025 08:30:27;13/11/2025;13/11/2025 08:32:48;;;en attente de livraison;bebhjkouassi;bebhjkouassi;E A C CI;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
ae733340-7212-4c02-ac66-3e24dd37539c;294;;21804856;commande centrale;;;13/11/2025 08:22:29;14/11/2025;13/11/2025 08:37:10;;;en attente de livraison;kjyggnapoh;kjyggnapoh;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
3138d59f-1a50-4280-a629-543ba908a1b8;294;;60783323;COMMANDE CREMERIE LC;;;13/11/2025 08:16:45;14/11/2025;13/11/2025 08:47:33;;;en attente de livraison;mdan;mdan;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
b98c527a-581d-4fd0-ad46-b31b04130196;294;;16362906;;;;13/11/2025 08:06:32;14/11/2025;13/11/2025 08:30:56;;;en attente de livraison;bebhjkouassi;bebhjkouassi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
e910dc21-d99e-4c70-8e32-3332829a7bed;294;;14372816;CMD LC PAT;;;13/11/2025 08:04:20;14/11/2025;13/11/2025 08:06:40;;;en attente de livraison;icisse;icisse;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
7fd6fa29-903f-4849-ae01-04d82ebd86c0;294;;10273254;COMMANDE CENTRAL LC EPICERIE;;;13/11/2025 07:38:23;13/11/2025;13/11/2025 08:04:05;;;en attente de livraison;;ygdayekoe;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
62f9a337-a664-4923-85b2-a09f4b0baea5;294;;21843653;COMMANDE FRUITS ET LEGUMES LC;;;13/11/2025 07:27:48;14/11/2025;13/11/2025 08:15:48;;;en attente de livraison;mdan;mdan;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
5a96bbae-8dc8-4b65-b741-31d281914357;294;;25810339;commande centrale;;;13/11/2025 07:22:41;14/11/2025;13/11/2025 07:27:14;;;en attente de livraison;ckakpo;ckakpo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
